year,category,score,count,cumulative_count,rank
2022,物理,700,6.0,6,4.0
2022,物理,699,3.0,9,8.0
2022,物理,698,1.0,10,10.0
2022,物理,697,1.0,11,11.0
2022,物理,696,2.0,13,13.0
2022,物理,695,0.0,13,13.0
2022,物理,694,4.0,17,16.0
2022,物理,693,5.0,22,20.0
2022,物理,692,3.0,25,24.0
2022,物理,691,2.0,27,27.0
2022,物理,690,10.0,37,33.0
2022,物理,689,4.0,41,40.0
2022,物理,688,5.0,46,44.0
2022,物理,687,7.0,53,50.0
2022,物理,686,10.0,63,59.0
2022,物理,685,10.0,73,69.0
2022,物理,684,13.0,86,80.0
2022,物理,683,11.0,97,92.0
2022,物理,682,12.0,109,104.0
2022,物理,681,16.0,125,118.0
2022,物理,680,11.0,136,131.0
2022,物理,679,17.0,153,145.0
2022,物理,678,19.0,172,163.0
2022,物理,677,22.0,194,184.0
2022,物理,676,30.0,224,210.0
2022,物理,675,27.0,251,238.0
2022,物理,674,30.0,281,267.0
2022,物理,673,41.0,322,302.0
2022,物理,672,31.0,353,338.0
2022,物理,671,32.0,385,370.0
2022,物理,670,38.0,423,405.0
2022,物理,669,33.0,456,440.0
2022,物理,668,46.0,502,480.0
2022,物理,667,59.0,561,532.0
2022,物理,666,54.0,615,589.0
2022,物理,665,67.0,682,649.0
2022,物理,664,48.0,730,707.0
2022,物理,663,64.0,794,763.0
2022,物理,662,78.0,872,834.0
2022,物理,661,70.0,942,908.0
2022,物理,660,80.0,1022,983.0
2022,物理,659,107.0,1129,1076.0
2022,物理,658,94.0,1223,1177.0
2022,物理,657,96.0,1319,1272.0
2022,物理,656,107.0,1426,1373.0
2022,物理,655,100.0,1526,1477.0
2022,物理,654,122.0,1648,1588.0
2022,物理,653,123.0,1771,1710.0
2022,物理,652,135.0,1906,1839.0
2022,物理,651,139.0,2045,1976.0
2022,物理,650,166.0,2211,2129.0
2022,物理,649,142.0,2353,2283.0
2022,物理,648,129.0,2482,2418.0
2022,物理,647,156.0,2638,2561.0
2022,物理,646,173.0,2811,2725.0
2022,物理,645,144.0,2955,2884.0
2022,物理,644,197.0,3152,3054.0
2022,物理,643,201.0,3353,3253.0
2022,物理,642,226.0,3579,3467.0
2022,物理,641,220.0,3799,3690.0
2022,物理,640,207.0,4006,3903.0
2022,物理,639,237.0,4243,4125.0
2022,物理,638,239.0,4482,4363.0
2022,物理,637,239.0,4721,4602.0
2022,物理,636,284.0,5005,4864.0
2022,物理,635,275.0,5280,5143.0
2022,物理,634,284.0,5564,5423.0
2022,物理,633,266.0,5830,5698.0
2022,物理,632,306.0,6136,5984.0
2022,物理,631,324.0,6460,6299.0
2022,物理,630,343.0,6803,6632.0
2022,物理,629,315.0,7118,6961.0
2022,物理,628,349.0,7467,7293.0
2022,物理,627,366.0,7833,7651.0
2022,物理,626,355.0,8188,8011.0
2022,物理,625,377.0,8565,8377.0
2022,物理,624,384.0,8949,8758.0
2022,物理,623,414.0,9363,9157.0
2022,物理,622,392.0,9755,9560.0
2022,物理,621,453.0,10208,9982.0
2022,物理,620,429.0,10637,10423.0
2022,物理,619,418.0,11055,10847.0
2022,物理,618,433.0,11488,11272.0
2022,物理,617,484.0,11972,11731.0
2022,物理,616,481.0,12453,12213.0
2022,物理,615,515.0,12968,12711.0
2022,物理,614,513.0,13481,13225.0
2022,物理,613,534.0,14015,13749.0
2022,物理,612,528.0,14543,14280.0
