year,category,score,count,cumulative_count,rank
2023,历史,670,31.0,31,31.0
2023,历史,669,4.0,35,34.0
2023,历史,668,4.0,39,38.0
2023,历史,667,8.0,47,44.0
2023,历史,666,7.0,54,51.0
2023,历史,665,6.0,60,58.0
2023,历史,664,5.0,65,63.0
2023,历史,663,5.0,70,68.0
2023,历史,662,4.0,74,73.0
2023,历史,661,7.0,81,78.0
2023,历史,660,7.0,88,85.0
2023,历史,659,10.0,98,94.0
2023,历史,658,12.0,110,105.0
2023,历史,657,6.0,116,114.0
2023,历史,656,7.0,123,120.0
2023,历史,655,13.0,136,130.0
2023,历史,654,11.0,147,142.0
2023,历史,653,16.0,163,156.0
2023,历史,652,10.0,173,169.0
2023,历史,651,23.0,196,185.0
2023,历史,650,20.0,216,207.0
2023,历史,649,22.0,238,228.0
2023,历史,648,17.0,255,247.0
2023,历史,647,16.0,271,264.0
2023,历史,646,32.0,303,288.0
2023,历史,645,30.0,333,319.0
2023,历史,644,25.0,358,346.0
2023,历史,643,18.0,376,368.0
2023,历史,642,36.0,412,395.0
2023,历史,641,29.0,441,427.0
2023,历史,640,42.0,483,463.0
2023,历史,639,28.0,511,498.0
2023,历史,638,33.0,544,528.0
2023,历史,637,23.0,567,556.0
2023,历史,636,40.0,607,588.0
2023,历史,635,22.0,629,619.0
2023,历史,634,35.0,664,647.0
2023,历史,633,47.0,711,688.0
2023,历史,632,53.0,764,738.0
2023,历史,631,37.0,801,783.0
2023,历史,630,49.0,850,826.0
2023,历史,629,41.0,891,871.0
2023,历史,628,49.0,940,916.0
2023,历史,627,50.0,990,966.0
2023,历史,626,51.0,1041,1016.0
2023,历史,625,49.0,1090,1066.0
2023,历史,624,46.0,1136,1114.0
2023,历史,623,62.0,1198,1168.0
2023,历史,622,64.0,1262,1231.0
2023,历史,621,72.0,1334,1299.0
2023,历史,620,64.0,1398,1367.0
2023,历史,619,77.0,1475,1437.0
2023,历史,618,89.0,1564,1520.0
2023,历史,617,62.0,1626,1596.0
2023,历史,616,81.0,1707,1667.0
2023,历史,615,80.0,1787,1748.0
2023,历史,614,90.0,1877,1833.0
2023,历史,613,100.0,1977,1928.0
2023,历史,612,91.0,2068,2023.0
2023,历史,611,92.0,2160,2115.0
2023,历史,610,102.0,2262,2212.0
2023,历史,609,99.0,2361,2312.0
2023,历史,608,106.0,2467,2415.0
2023,历史,607,92.0,2559,2514.0
2023,历史,606,119.0,2678,2619.0
2023,历史,605,112.0,2790,2735.0
2023,历史,604,103.0,2893,2842.0
2023,历史,603,124.0,3017,2956.0
2023,历史,602,127.0,3144,3081.0
2023,历史,601,123.0,3267,3206.0
2023,历史,600,130.0,3397,3333.0
2023,历史,599,132.0,3529,3464.0
2023,历史,598,151.0,3680,3605.0
2023,历史,597,130.0,3810,3746.0
2023,历史,596,144.0,3954,3883.0
2023,历史,595,151.0,4105,4030.0
2023,历史,594,159.0,4264,4185.0
2023,历史,593,172.0,4436,4351.0
2023,历史,592,186.0,4622,4530.0
2023,历史,591,150.0,4772,4698.0
2023,历史,590,172.0,4944,4859.0
2023,历史,589,148.0,5092,5019.0
2023,历史,588,173.0,5265,5179.0
2023,历史,587,199.0,5464,5365.0
2023,历史,586,198.0,5662,5564.0
2023,历史,585,188.0,5850,5757.0
2023,历史,584,196.0,6046,5949.0
2023,历史,583,188.0,6234,6141.0
2023,历史,582,197.0,6431,6333.0
2023,历史,581,211.0,6642,6537.0
2023,历史,580,183.0,6825,6734.0
2023,历史,579,238.0,7063,6945.0
2023,历史,578,221.0,7284,7174.0
2023,历史,577,211.0,7495,7390.0
2023,历史,576,239.0,7734,7615.0
2023,历史,575,240.0,7974,7855.0
2023,历史,574,244.0,8218,8097.0
2023,历史,573,236.0,8454,8337.0
2023,历史,572,238.0,8692,8574.0
2023,历史,571,264.0,8956,8825.0
2023,历史,570,263.0,9219,9088.0
2023,历史,569,268.0,9487,9354.0
2023,历史,568,272.0,9759,9624.0
2023,历史,567,280.0,10039,9900.0
2023,历史,566,258.0,10297,10169.0
2023,历史,565,294.0,10591,10445.0
2023,历史,564,288.0,10879,10736.0
2023,历史,563,286.0,11165,11023.0
2023,历史,562,272.0,11437,11302.0
2023,历史,561,303.0,11740,11589.0
2023,历史,560,313.0,12053,11897.0
2023,历史,559,308.0,12361,12208.0
2023,历史,558,309.0,12670,12516.0
2023,历史,557,339.0,13009,12840.0
2023,历史,556,297.0,13306,13158.0
2023,历史,555,285.0,13591,13449.0
2023,历史,554,358.0,13949,13771.0
2023,历史,553,333.0,14282,14116.0
2023,历史,552,372.0,14654,14469.0
2023,历史,551,342.0,14996,14826.0
2023,历史,550,365.0,15361,15179.0
2023,历史,549,362.0,15723,15543.0
2023,历史,548,367.0,16090,15907.0
2023,历史,547,379.0,16469,16280.0
2023,历史,546,357.0,16826,16648.0
2023,历史,545,384.0,17210,17019.0
2023,历史,544,391.0,17601,17406.0
2023,历史,543,411.0,18012,17807.0
2023,历史,542,416.0,18428,18221.0
2023,历史,541,418.0,18846,18638.0
2023,历史,540,429.0,19275,19061.0
2023,历史,539,421.0,19696,19486.0
2023,历史,538,413.0,20109,19903.0
2023,历史,537,418.0,20527,20319.0
2023,历史,536,412.0,20939,20734.0
2023,历史,535,443.0,21382,21161.0
2023,历史,534,474.0,21856,21620.0
2023,历史,533,465.0,22321,22089.0
2023,历史,532,407.0,22728,22525.0
2023,历史,531,457.0,23185,22957.0
2023,历史,530,426.0,23611,23399.0
2023,历史,529,448.0,24059,23836.0
2023,历史,528,466.0,24525,24293.0
2023,历史,527,467.0,24992,24759.0
2023,历史,526,503.0,25495,25244.0
2023,历史,525,472.0,25967,25732.0
2023,历史,524,472.0,26439,26204.0
2023,历史,523,512.0,26951,26696.0
2023,历史,522,476.0,27427,27190.0
2023,历史,521,498.0,27925,27677.0
2023,历史,520,462.0,28387,28157.0
2023,历史,519,530.0,28917,28653.0
2023,历史,518,508.0,29425,29172.0
2023,历史,517,555.0,29980,29703.0
2023,历史,516,541.0,30521,30251.0
2023,历史,515,567.0,31088,30805.0
2023,历史,514,552.0,31640,31365.0
2023,历史,513,626.0,32266,31954.0
2023,历史,512,602.0,32868,32568.0
2023,历史,511,569.0,33437,33153.0
2023,历史,510,567.0,34004,33721.0
2023,历史,509,579.0,34583,34294.0
2023,历史,508,593.0,35176,34880.0
2023,历史,507,578.0,35754,35466.0
2023,历史,506,582.0,36336,36046.0
2023,历史,505,583.0,36919,36628.0
2023,历史,504,611.0,37530,37225.0
2023,历史,503,613.0,38143,37837.0
2023,历史,502,612.0,38755,38450.0
2023,历史,501,656.0,39411,39084.0
2023,历史,500,663.0,40074,39743.0
2023,历史,499,649.0,40723,40399.0
2023,历史,498,668.0,41391,41058.0
2023,历史,497,656.0,42047,41720.0
2023,历史,496,688.0,42735,42392.0
2023,历史,495,639.0,43374,43055.0
2023,历史,494,661.0,44035,43705.0
2023,历史,493,692.0,44727,44382.0
2023,历史,492,697.0,45424,45076.0
2023,历史,491,705.0,46129,45777.0
2023,历史,490,677.0,46806,46468.0
2023,历史,489,681.0,47487,47147.0
2023,历史,488,680.0,48167,47828.0
2023,历史,487,732.0,48899,48534.0
2023,历史,486,721.0,49620,49260.0
2023,历史,485,673.0,50293,49957.0
2023,历史,484,763.0,51056,50675.0
2023,历史,483,761.0,51817,51437.0
2023,历史,482,704.0,52521,52170.0
2023,历史,481,757.0,53278,52900.0
2023,历史,480,774.0,54052,53666.0
2023,历史,479,741.0,54793,54423.0
2023,历史,478,752.0,55545,55170.0
2023,历史,477,780.0,56325,55936.0
2023,历史,476,788.0,57113,56720.0
2023,历史,475,808.0,57921,57518.0
2023,历史,474,801.0,58722,58322.0
2023,历史,473,860.0,59582,59153.0
2023,历史,472,784.0,60366,59975.0
2023,历史,471,835.0,61201,60784.0
2023,历史,470,843.0,62044,61623.0
2023,历史,469,823.0,62867,62456.0
2023,历史,468,820.0,63687,63278.0
2023,历史,467,777.0,64464,64076.0
2023,历史,466,880.0,65344,64905.0
2023,历史,465,794.0,66138,65742.0
2023,历史,464,874.0,67012,66576.0
2023,历史,463,875.0,67887,67450.0
2023,历史,462,880.0,68767,68328.0
2023,历史,461,896.0,69663,69216.0
2023,历史,460,920.0,70583,70124.0
2023,历史,459,842.0,71425,71005.0
2023,历史,458,896.0,72321,71874.0
2023,历史,457,914.0,73235,72779.0
2023,历史,456,930.0,74165,73701.0
2023,历史,455,912.0,75077,74622.0
2023,历史,454,979.0,76056,75567.0
2023,历史,453,929.0,76985,76521.0
2023,历史,452,929.0,77914,77450.0
2023,历史,451,934.0,78848,78382.0
2023,历史,450,964.0,79812,79331.0
2023,历史,449,969.0,80781,80297.0
