year,category,score,count,cumulative_count,rank
2021,历史,664,3.0,23,22.0
2021,历史,663,3.0,26,25.0
2021,历史,662,3.0,29,28.0
2021,历史,661,4.0,33,31.5
2021,历史,660,2.0,35,34.5
2021,历史,659,2.0,37,36.5
2021,历史,658,5.0,42,40.0
2021,历史,657,5.0,47,45.0
2021,历史,656,6.0,53,50.5
2021,历史,655,6.0,59,56.5
2021,历史,654,7.0,66,63.0
2021,历史,653,7.0,73,70.0
2021,历史,652,6.0,79,76.5
2021,历史,651,4.0,83,81.5
2021,历史,650,14.0,97,90.5
2021,历史,649,7.0,104,101.0
2021,历史,648,11.0,115,110.0
2021,历史,647,10.0,125,120.5
2021,历史,646,16.0,141,133.5
2021,历史,645,17.0,158,150.0
2021,历史,644,15.0,173,166.0
2021,历史,643,16.0,189,181.5
2021,历史,642,11.0,200,195.0
2021,历史,641,12.0,212,206.5
2021,历史,640,19.0,231,222.0
2021,历史,639,17.0,248,240.0
2021,历史,638,38.0,286,267.5
2021,历史,637,34.0,320,303.5
2021,历史,636,27.0,347,334.0
2021,历史,635,29.0,376,362.0
2021,历史,634,39.0,415,396.0
2021,历史,633,35.0,450,433.0
2021,历史,632,42.0,492,471.5
2021,历史,631,41.0,533,513.0
2021,历史,630,37.0,570,552.0
2021,历史,629,38.0,608,589.5
2021,历史,628,47.0,655,632.0
2021,历史,627,45.0,700,678.0
2021,历史,626,50.0,750,725.5
2021,历史,625,50.0,800,775.5
2021,历史,624,46.0,846,823.5
2021,历史,623,56.0,902,874.5
2021,历史,622,50.0,952,927.5
2021,历史,621,63.0,1015,984.0
2021,历史,620,63.0,1078,1047.0
2021,历史,619,51.0,1129,1104.0
2021,历史,618,70.0,1199,1164.5
2021,历史,617,78.0,1277,1238.5
2021,历史,616,99.0,1376,1327.0
2021,历史,615,77.0,1453,1415.0
2021,历史,614,95.0,1548,1501.0
2021,历史,613,87.0,1635,1592.0
2021,历史,612,113.0,1748,1692.0
2021,历史,611,79.0,1827,1788.0
2021,历史,610,89.0,1916,1872.0
2021,历史,609,115.0,2031,1974.0
2021,历史,608,113.0,2144,2088.0
2021,历史,607,129.0,2273,2209.0
2021,历史,606,112.0,2385,2329.5
2021,历史,605,134.0,2519,2452.5
2021,历史,604,139.0,2658,2589.0
2021,历史,603,132.0,2790,2724.5
2021,历史,602,140.0,2930,2860.5
2021,历史,601,151.0,3081,3006.0
2021,历史,600,148.0,3229,3155.5
2021,历史,599,173.0,3402,3316.0
2021,历史,598,158.0,3560,3481.5
2021,历史,597,181.0,3741,3651.0
2021,历史,596,173.0,3914,3828.0
2021,历史,595,171.0,4085,4000.0
2021,历史,594,171.0,4256,4171.0
2021,历史,593,209.0,4465,4361.0
2021,历史,592,206.0,4671,4568.5
2021,历史,591,196.0,4867,4769.5
2021,历史,590,198.0,5065,4966.5
2021,历史,589,210.0,5275,5170.5
2021,历史,588,221.0,5496,5386.0
2021,历史,587,226.0,5722,5609.5
2021,历史,586,240.0,5962,5842.5
2021,历史,585,245.0,6207,6085.0
2021,历史,584,211.0,6418,6313.0
2021,历史,583,218.0,6636,6527.5
2021,历史,582,255.0,6891,6764.0
2021,历史,581,258.0,7149,7020.5
2021,历史,580,291.0,7440,7295.0
2021,历史,579,282.0,7722,7581.5
2021,历史,578,279.0,8001,7862.0
2021,历史,577,296.0,8297,8149.5
2021,历史,576,281.0,8578,8438.0
2021,历史,575,320.0,8898,8738.5
2021,历史,574,336.0,9234,9066.5
2021,历史,573,321.0,9555,9395.0
2021,历史,572,320.0,9875,9715.5
2021,历史,571,349.0,10224,10050.0
2021,历史,570,293.0,10517,10371.0
2021,历史,569,359.0,10876,10697.0
2021,历史,568,362.0,11238,11057.5
2021,历史,567,378.0,11616,11427.5
2021,历史,566,346.0,11962,11789.5
2021,历史,565,393.0,12355,12159.0
2021,历史,564,395.0,12750,12553.0
2021,历史,563,388.0,13138,12944.5
2021,历史,562,386.0,13524,13331.5
2021,历史,561,357.0,13881,13703.0
2021,历史,560,430.0,14311,14096.5
2021,历史,559,413.0,14724,14518.0
2021,历史,558,408.0,15132,14928.5
2021,历史,557,453.0,15585,15359.0
2021,历史,556,459.0,16044,15815.0
2021,历史,555,486.0,16530,16287.5
2021,历史,554,490.0,17020,16775.5
2021,历史,553,479.0,17499,17260.0
2021,历史,552,486.0,17985,17742.5
2021,历史,551,434.0,18419,18202.5
2021,历史,550,470.0,18889,18654.5
2021,历史,549,457.0,19346,19118.0
2021,历史,548,500.0,19846,19596.5
2021,历史,547,509.0,20355,20101.0
2021,历史,546,519.0,20874,20615.0
2021,历史,545,510.0,21384,21129.5
2021,历史,544,538.0,21922,21653.5
2021,历史,543,546.0,22468,22195.5
2021,历史,542,479.0,22947,22708.0
2021,历史,541,517.0,23464,23206.0
2021,历史,540,572.0,24036,23750.5
2021,历史,539,516.0,24552,24294.5
2021,历史,538,559.0,25111,24832.0
2021,历史,537,555.0,25666,25389.0
2021,历史,536,607.0,26273,25970.0
2021,历史,535,612.0,26885,26579.5
2021,历史,534,547.0,27432,27159.0
2021,历史,533,570.0,28002,27717.5
2021,历史,532,565.0,28567,28285.0
2021,历史,531,588.0,29155,28861.5
2021,历史,530,618.0,29773,29464.5
2021,历史,529,622.0,30395,30084.5
2021,历史,528,569.0,30964,30680.0
2021,历史,527,589.0,31553,31259.0
2021,历史,526,672.0,32225,31889.5
2021,历史,525,657.0,32882,32554.0
2021,历史,524,646.0,33528,33205.5
2021,历史,523,669.0,34197,33863.0
2021,历史,522,645.0,34842,34520.0
2021,历史,521,701.0,35543,35193.0
2021,历史,520,655.0,36198,35871.0
2021,历史,519,670.0,36868,36533.5
2021,历史,518,731.0,37599,37234.0
2021,历史,517,660.0,38259,37929.5
2021,历史,516,720.0,38979,38619.5
2021,历史,515,625.0,39604,39292.0
2021,历史,514,648.0,40252,39928.5
2021,历史,513,718.0,40970,40611.5
2021,历史,512,689.0,41659,41315.0
2021,历史,511,708.0,42367,42013.5
2021,历史,510,706.0,43073,42720.5
2021,历史,509,729.0,43802,43438.0
2021,历史,508,724.0,44526,44164.5
2021,历史,507,759.0,45285,44906.0
2021,历史,506,738.0,46023,45654.5
2021,历史,505,769.0,46792,46408.0
2021,历史,504,818.0,47610,47201.5
2021,历史,503,779.0,48389,48000.0
2021,历史,502,740.0,49129,48759.5
2021,历史,501,790.0,49919,49524.5
2021,历史,500,794.0,50713,50316.5
2021,历史,499,756.0,51469,51091.5
2021,历史,498,780.0,52249,51859.5
2021,历史,497,794.0,53043,52646.5
2021,历史,496,769.0,53812,53428.0
2021,历史,495,779.0,54591,54202.0
2021,历史,494,800.0,55391,54991.5
2021,历史,493,779.0,56170,55781.0
2021,历史,492,766.0,56936,56553.5
2021,历史,491,859.0,57795,57366.0
2021,历史,490,782.0,58577,58186.5
2021,历史,489,815.0,59392,58985.0
2021,历史,488,836.0,60228,59810.5
2021,历史,487,843.0,61071,60650.0
2021,历史,486,769.0,61840,61456.0
2021,历史,485,843.0,62683,62262.0
2021,历史,484,819.0,63502,63093.0
2021,历史,483,859.0,64361,63932.0
2021,历史,482,805.0,65166,64764.0
2021,历史,481,880.0,66046,65606.5
