year,category,score,count,cumulative_count,rank
2024,历史,665,20.0,20,11.0
2024,历史,664,3.0,23,22.0
2024,历史,663,6.0,29,27.0
2024,历史,662,6.0,35,33.0
2024,历史,661,5.0,40,38.0
2024,历史,660,6.0,46,44.0
2024,历史,659,7.0,53,50.0
2024,历史,658,3.0,56,55.0
2024,历史,657,9.0,65,61.0
2024,历史,656,11.0,76,71.0
2024,历史,655,11.0,87,82.0
2024,历史,654,14.0,101,95.0
2024,历史,653,6.0,107,105.0
2024,历史,652,11.0,118,113.0
2024,历史,651,9.0,127,123.0
2024,历史,650,13.0,140,134.0
2024,历史,649,9.0,149,145.0
2024,历史,648,13.0,162,156.0
2024,历史,647,14.0,176,170.0
2024,历史,646,10.0,186,182.0
2024,历史,645,17.0,203,195.0
2024,历史,644,20.0,223,214.0
2024,历史,643,17.0,240,232.0
2024,历史,642,4.0,244,243.0
2024,历史,641,12.0,256,251.0
2024,历史,640,24.0,280,269.0
2024,历史,639,22.0,302,292.0
2024,历史,638,29.0,331,317.0
2024,历史,637,29.0,360,346.0
2024,历史,636,25.0,385,373.0
2024,历史,635,24.0,409,398.0
2024,历史,634,33.0,442,426.0
2024,历史,633,36.0,478,461.0
2024,历史,632,29.0,507,493.0
2024,历史,631,41.0,548,528.0
2024,历史,630,45.0,593,571.0
2024,历史,629,37.0,630,612.0
2024,历史,628,49.0,679,655.0
2024,历史,627,43.0,722,701.0
2024,历史,626,54.0,776,750.0
2024,历史,625,52.0,828,803.0
2024,历史,624,52.0,880,855.0
2024,历史,623,67.0,947,914.0
2024,历史,622,73.0,1020,984.0
2024,历史,621,45.0,1065,1043.0
2024,历史,620,87.0,1152,1109.0
2024,历史,619,45.0,1197,1175.0
2024,历史,618,77.0,1274,1236.0
2024,历史,617,80.0,1354,1315.0
2024,历史,616,60.0,1414,1385.0
2024,历史,615,80.0,1494,1455.0
2024,历史,614,72.0,1566,1531.0
2024,历史,613,91.0,1657,1612.0
2024,历史,612,83.0,1740,1699.0
2024,历史,611,80.0,1820,1781.0
2024,历史,610,101.0,1921,1871.0
2024,历史,609,84.0,2005,1964.0
2024,历史,608,92.0,2097,2052.0
2024,历史,607,122.0,2219,2159.0
2024,历史,606,140.0,2359,2290.0
2024,历史,605,107.0,2466,2413.0
2024,历史,604,116.0,2582,2525.0
2024,历史,603,113.0,2695,2639.0
2024,历史,602,122.0,2817,2757.0
2024,历史,601,128.0,2945,2882.0
2024,历史,600,101.0,3046,2996.0
2024,历史,599,135.0,3181,3114.0
2024,历史,598,120.0,3301,3242.0
2024,历史,597,122.0,3423,3363.0
2024,历史,596,121.0,3544,3484.0
2024,历史,595,165.0,3709,3627.0
2024,历史,594,163.0,3872,3791.0
2024,历史,593,152.0,4024,3949.0
2024,历史,592,165.0,4189,4107.0
2024,历史,591,166.0,4355,4273.0
2024,历史,590,168.0,4523,4440.0
2024,历史,589,151.0,4674,4599.0
2024,历史,588,164.0,4838,4757.0
2024,历史,587,177.0,5015,4927.0
2024,历史,586,183.0,5198,5107.0
2024,历史,585,200.0,5398,5299.0
2024,历史,584,196.0,5594,5497.0
2024,历史,583,207.0,5801,5698.0
2024,历史,582,187.0,5988,5895.0
2024,历史,581,210.0,6198,6094.0
2024,历史,580,194.0,6392,6296.0
2024,历史,579,204.0,6596,6495.0
2024,历史,578,236.0,6832,6715.0
2024,历史,577,214.0,7046,6940.0
2024,历史,576,242.0,7288,7168.0
2024,历史,575,240.0,7528,7409.0
2024,历史,574,230.0,7758,7644.0
2024,历史,573,231.0,7989,7874.0
2024,历史,572,237.0,8226,8108.0
2024,历史,571,249.0,8475,8351.0
2024,历史,570,279.0,8754,8615.0
2024,历史,569,246.0,9000,8878.0
2024,历史,568,245.0,9245,9123.0
2024,历史,567,245.0,9490,9368.0
2024,历史,566,225.0,9715,9603.0
2024,历史,565,271.0,9986,9851.0
2024,历史,564,297.0,10283,10135.0
2024,历史,563,288.0,10571,10428.0
2024,历史,562,313.0,10884,10728.0
2024,历史,561,250.0,11134,11010.0
2024,历史,560,320.0,11454,11295.0
2024,历史,559,319.0,11773,11614.0
2024,历史,558,313.0,12086,11930.0
2024,历史,557,315.0,12401,12244.0
2024,历史,556,340.0,12741,12572.0
2024,历史,555,312.0,13053,12898.0
2024,历史,554,335.0,13388,13221.0
2024,历史,553,308.0,13696,13543.0
2024,历史,552,346.0,14042,13870.0
2024,历史,551,350.0,14392,14218.0
2024,历史,550,386.0,14778,14586.0
2024,历史,549,325.0,15103,14941.0
2024,历史,548,373.0,15476,15290.0
2024,历史,547,391.0,15867,15672.0
2024,历史,546,426.0,16293,16081.0
2024,历史,545,354.0,16647,16471.0
2024,历史,544,419.0,17066,16857.0
2024,历史,543,374.0,17440,17254.0
2024,历史,542,367.0,17807,17624.0
2024,历史,541,418.0,18225,18017.0
2024,历史,540,389.0,18614,18420.0
2024,历史,539,426.0,19040,18828.0
2024,历史,538,394.0,19434,19238.0
2024,历史,537,456.0,19890,19663.0
2024,历史,536,422.0,20312,20102.0
2024,历史,535,408.0,20720,20517.0
2024,历史,534,404.0,21124,20923.0
2024,历史,533,449.0,21573,21349.0
2024,历史,532,420.0,21993,21784.0
2024,历史,531,455.0,22448,22221.0
2024,历史,530,456.0,22904,22677.0
2024,历史,529,502.0,23406,23156.0
2024,历史,528,434.0,23840,23624.0
2024,历史,527,463.0,24303,24072.0
2024,历史,526,493.0,24796,24550.0
2024,历史,525,510.0,25306,25052.0
2024,历史,524,486.0,25792,25550.0
2024,历史,523,505.0,26297,26045.0
2024,历史,522,470.0,26767,26533.0
2024,历史,521,501.0,27268,27018.0
2024,历史,520,473.0,27741,27505.0
2024,历史,519,506.0,28247,27995.0
2024,历史,518,527.0,28774,28511.0
2024,历史,517,540.0,29314,29045.0
2024,历史,516,583.0,29897,29606.0
2024,历史,515,527.0,30424,30161.0
2024,历史,514,557.0,30981,30703.0
2024,历史,513,515.0,31496,31239.0
2024,历史,512,567.0,32063,31780.0
2024,历史,511,570.0,32633,32349.0
2024,历史,510,530.0,33163,32899.0
2024,历史,509,615.0,33778,33471.0
2024,历史,508,546.0,34324,34052.0
2024,历史,507,604.0,34928,34627.0
2024,历史,506,602.0,35530,35230.0
2024,历史,505,589.0,36119,35825.0
2024,历史,504,639.0,36758,36439.0
2024,历史,503,629.0,37387,37073.0
2024,历史,502,655.0,38042,37715.0
2024,历史,501,616.0,38658,38351.0
2024,历史,500,624.0,39282,38971.0
2024,历史,499,641.0,39923,39603.0
2024,历史,498,616.0,40539,40232.0
2024,历史,497,646.0,41185,40863.0
2024,历史,496,656.0,41841,41514.0
2024,历史,495,629.0,42470,42156.0
2024,历史,494,650.0,43120,42796.0
2024,历史,493,648.0,43768,43445.0
2024,历史,492,669.0,44437,44103.0
2024,历史,491,674.0,45111,44775.0
2024,历史,490,722.0,45833,45473.0
2024,历史,489,721.0,46554,46194.0
2024,历史,488,682.0,47236,46896.0
2024,历史,487,688.0,47924,47581.0
2024,历史,486,718.0,48642,48284.0
2024,历史,485,658.0,49300,48972.0
2024,历史,484,729.0,50029,49665.0
2024,历史,483,749.0,50778,50404.0
2024,历史,482,692.0,51470,51125.0
2024,历史,481,703.0,52173,51822.0
2024,历史,480,750.0,52923,52549.0
2024,历史,479,807.0,53730,53327.0
2024,历史,478,735.0,54465,54098.0
2024,历史,477,739.0,55204,54835.0
2024,历史,476,730.0,55934,55570.0
2024,历史,475,767.0,56701,56318.0
2024,历史,474,746.0,57447,57075.0
2024,历史,473,722.0,58169,57809.0
2024,历史,472,696.0,58865,58518.0
2024,历史,471,759.0,59624,59245.0
2024,历史,470,752.0,60376,60001.0
2024,历史,469,762.0,61138,60758.0
2024,历史,468,757.0,61895,61517.0
2024,历史,467,761.0,62656,62276.0
2024,历史,466,809.0,63465,63061.0
2024,历史,465,739.0,64204,63835.0
2024,历史,464,828.0,65032,64619.0
2024,历史,463,795.0,65827,65430.0
2024,历史,462,809.0,66636,66232.0
2024,历史,461,723.0,67359,66998.0
2024,历史,460,897.0,68256,67808.0
2024,历史,459,830.0,69086,68672.0
2024,历史,458,838.0,69924,69506.0
2024,历史,457,805.0,70729,70327.0
2024,历史,456,858.0,71587,71159.0
2024,历史,455,790.0,72377,71983.0
2024,历史,454,815.0,73192,72785.0
2024,历史,453,863.0,74055,73624.0
2024,历史,452,809.0,74864,74460.0
2024,历史,451,894.0,75758,75312.0
2024,历史,450,837.0,76595,76177.0
2024,历史,449,855.0,77450,77023.0
2024,历史,448,853.0,78303,77877.0
2024,历史,447,769.0,79072,78688.0
2024,历史,446,855.0,79927,79500.0
2024,历史,445,899.0,80826,80377.0
2024,历史,444,857.0,81683,81255.0
2024,历史,443,908.0,82591,82138.0
2024,历史,442,860.0,83451,83022.0
2024,历史,441,905.0,84356,83904.0
2024,历史,440,833.0,85189,84773.0
2024,历史,439,921.0,86110,85650.0
2024,历史,438,938.0,87048,86580.0
2024,历史,437,886.0,87934,87492.0
2024,历史,436,902.0,88836,88386.0
2024,历史,435,916.0,89752,89295.0
2024,历史,434,882.0,90634,90194.0
2024,历史,433,923.0,91557,91096.0
2024,历史,432,998.0,92555,92057.0
2024,历史,431,947.0,93502,93029.0
2024,历史,430,888.0,94390,93947.0
2024,历史,429,952.0,95342,94867.0
2024,历史,428,924.0,96266,95805.0
2024,历史,427,953.0,97219,96743.0
2024,历史,426,973.0,98192,97706.0
2024,历史,425,861.0,99053,98623.0
2024,历史,424,938.0,99991,99523.0
2024,历史,423,968.0,100959,100476.0
2024,历史,422,960.0,101919,101440.0
2024,历史,421,1047.0,102966,102443.0
2024,历史,420,940.0,103906,103437.0
2024,历史,419,952.0,104858,104383.0
2024,历史,418,992.0,105850,105355.0
2024,历史,417,960.0,106810,106331.0
2024,历史,416,966.0,107776,107294.0
2024,历史,415,894.0,108670,108224.0
2024,历史,414,985.0,109655,109163.0
2024,历史,413,976.0,110631,110144.0
2024,历史,412,1018.0,111649,111141.0
2024,历史,411,944.0,112593,112122.0
2024,历史,410,951.0,113544,113069.0
2024,历史,409,1001.0,114545,114045.0
2024,历史,408,1000.0,115545,115046.0
2024,历史,407,1039.0,116584,116065.0
2024,历史,406,989.0,117573,117079.0
2024,历史,405,1032.0,118605,118090.0
2024,历史,404,972.0,119577,119092.0
2024,历史,403,1060.0,120637,120108.0
2024,历史,402,1006.0,121643,121141.0
2024,历史,401,1027.0,122670,122157.0
2024,历史,400,1041.0,123711,123191.0
2024,历史,399,1006.0,124717,124215.0
2024,历史,398,1011.0,125728,125223.0
2024,历史,397,1068.0,126796,126263.0
2024,历史,396,1033.0,127829,127313.0
2024,历史,395,1058.0,128887,128359.0
2024,历史,394,974.0,129861,129375.0
2024,历史,393,1039.0,130900,130381.0
2024,历史,392,1069.0,131969,131435.0
2024,历史,391,1007.0,132976,132473.0
2024,历史,390,1016.0,133992,133485.0
2024,历史,389,989.0,134981,134487.0
2024,历史,388,1070.0,136051,135517.0
2024,历史,387,1048.0,137099,136576.0
2024,历史,386,1061.0,138160,137630.0
2024,历史,385,1043.0,139203,138682.0
2024,历史,384,1083.0,140286,139745.0
2024,历史,383,1133.0,141419,140853.0
2024,历史,382,1087.0,142506,141963.0
2024,历史,381,1082.0,143588,143048.0
2024,历史,380,1059.0,144647,144118.0
2024,历史,379,1118.0,145765,145207.0
2024,历史,378,1030.0,146795,146281.0
2024,历史,377,1014.0,147809,147303.0
2024,历史,376,1008.0,148817,148314.0
2024,历史,375,1054.0,149871,149345.0
2024,历史,374,1072.0,150943,150408.0
2024,历史,373,1103.0,152046,151495.0
2024,历史,372,1042.0,153088,152568.0
2024,历史,371,1078.0,154166,153628.0
2024,历史,370,1062.0,155228,154698.0
2024,历史,369,1019.0,156247,155738.0
2024,历史,368,1032.0,157279,156764.0
2024,历史,367,1043.0,158322,157801.0
2024,历史,366,961.0,159283,158803.0
2024,历史,365,1046.0,160329,159807.0
2024,历史,364,1076.0,161405,160868.0
2024,历史,363,1120.0,162525,161966.0
2024,历史,362,1051.0,163576,163051.0
2024,历史,361,1049.0,164625,164101.0
2024,历史,360,1068.0,165693,165160.0
2024,历史,359,1066.0,166759,166227.0
2024,历史,358,1079.0,167838,167299.0
2024,历史,357,1118.0,168956,168398.0
2024,历史,356,1067.0,170023,169490.0
2024,历史,355,1035.0,171058,170541.0
2024,历史,354,1079.0,172137,171598.0
2024,历史,353,1062.0,173199,172669.0
2024,历史,352,1070.0,174269,173735.0
2024,历史,351,1060.0,175329,174800.0
2024,历史,350,1085.0,176414,175872.0
2024,历史,349,1063.0,177477,176946.0
2024,历史,348,1044.0,178521,178000.0
2024,历史,347,1053.0,179574,179048.0
2024,历史,346,1084.0,180658,180117.0
2024,历史,345,1089.0,181747,181203.0
2024,历史,344,1023.0,182770,182259.0
2024,历史,343,1025.0,183795,183283.0
2024,历史,342,1016.0,184811,184304.0
2024,历史,341,1067.0,185878,185345.0
2024,历史,340,1087.0,186965,186422.0
2024,历史,339,1016.0,187981,187474.0
2024,历史,338,983.0,188964,188473.0
2024,历史,337,988.0,189952,189459.0
2024,历史,336,1058.0,191010,190482.0
2024,历史,335,1034.0,192044,191528.0
2024,历史,334,1020.0,193064,192555.0
2024,历史,333,1005.0,194069,193567.0
2024,历史,332,959.0,195028,194549.0
2024,历史,331,1022.0,196050,195540.0
2024,历史,330,953.0,197003,196527.0
2024,历史,329,1000.0,198003,197504.0
2024,历史,328,975.0,198978,198491.0
2024,历史,327,986.0,199964,199472.0
2024,历史,326,949.0,200913,200439.0
2024,历史,325,997.0,201910,201412.0
2024,历史,324,981.0,202891,202401.0
2024,历史,323,905.0,203796,203344.0
2024,历史,322,940.0,204736,204267.0
2024,历史,321,980.0,205716,205227.0
2024,历史,320,980.0,206696,206207.0
2024,历史,319,919.0,207615,207156.0
2024,历史,318,925.0,208540,208078.0
2024,历史,317,906.0,209446,208994.0
2024,历史,316,943.0,210389,209918.0
2024,历史,315,954.0,211343,210867.0
2024,历史,314,911.0,212254,211799.0
2024,历史,313,924.0,213178,212717.0
2024,历史,312,913.0,214091,213635.0
2024,历史,311,926.0,215017,214555.0
2024,历史,310,886.0,215903,215461.0
2024,历史,309,885.0,216788,216346.0
2024,历史,308,887.0,217675,217232.0
2024,历史,307,852.0,218527,218102.0
2024,历史,306,891.0,219418,218973.0
2024,历史,305,892.0,220310,219865.0
2024,历史,304,853.0,221163,220737.0
2024,历史,303,823.0,221986,221575.0
2024,历史,302,837.0,222823,222405.0
2024,历史,301,796.0,223619,223222.0
2024,历史,300,794.0,224413,224017.0
2024,历史,299,803.0,225216,224815.0
2024,历史,298,830.0,226046,225632.0
2024,历史,297,799.0,226845,226446.0
2024,历史,296,804.0,227649,227248.0
2024,历史,295,780.0,228429,228040.0
2024,历史,294,798.0,229227,228829.0
2024,历史,293,810.0,230037,229633.0
2024,历史,292,745.0,230782,230410.0
2024,历史,291,766.0,231548,231166.0
2024,历史,290,794.0,232342,231946.0
2024,历史,289,737.0,233079,232711.0
2024,历史,288,756.0,233835,233458.0
2024,历史,287,757.0,234592,234214.0
2024,历史,286,737.0,235329,234961.0
2024,历史,285,751.0,236080,235705.0
2024,历史,284,733.0,236813,236447.0
2024,历史,283,692.0,237505,237160.0
2024,历史,282,695.0,238200,237853.0
2024,历史,281,682.0,238882,238542.0
2024,历史,280,682.0,239564,239224.0
2024,历史,279,701.0,240265,239915.0
2024,历史,278,698.0,240963,240615.0
2024,历史,277,636.0,241599,241282.0
2024,历史,276,663.0,242262,241931.0
2024,历史,275,698.0,242960,242612.0
2024,历史,274,614.0,243574,243268.0
2024,历史,273,633.0,244207,243891.0
2024,历史,272,611.0,244818,244513.0
2024,历史,271,593.0,245411,245115.0
2024,历史,270,564.0,245975,245694.0
2024,历史,269,604.0,246579,246278.0
2024,历史,268,575.0,247154,246867.0
2024,历史,267,556.0,247710,247433.0
2024,历史,266,563.0,248273,247992.0
2024,历史,265,567.0,248840,248557.0
2024,历史,264,512.0,249352,249097.0
2024,历史,263,533.0,249885,249619.0
2024,历史,262,507.0,250392,250139.0
2024,历史,261,480.0,250872,250633.0
2024,历史,260,512.0,251384,251129.0
2024,历史,259,474.0,251858,251622.0
2024,历史,258,480.0,252338,252099.0
2024,历史,257,483.0,252821,252580.0
2024,历史,256,478.0,253299,253061.0
2024,历史,255,426.0,253725,253513.0
2024,历史,254,456.0,254181,253954.0
2024,历史,253,432.0,254613,254398.0
2024,历史,252,390.0,255003,254809.0
2024,历史,251,440.0,255443,255224.0
2024,历史,250,364.0,255807,255626.0
2024,历史,249,444.0,256251,256030.0
2024,历史,248,383.0,256634,256443.0
2024,历史,247,370.0,257004,256820.0
2024,历史,246,369.0,257373,257189.0
2024,历史,245,364.0,257737,257556.0
2024,历史,244,387.0,258124,257931.0
2024,历史,243,371.0,258495,258310.0
2024,历史,242,326.0,258821,258659.0
2024,历史,241,332.0,259153,258988.0
2024,历史,240,335.0,259488,259321.0
2024,历史,239,296.0,259784,259637.0
2024,历史,238,263.0,260047,259916.0
2024,历史,237,285.0,260332,260190.0
