year,category,score,count,cumulative_count,rank
2022,历史,660,5.0,5,3.0
2022,历史,659,0.0,5,5.0
2022,历史,658,1.0,6,6.0
2022,历史,657,0.0,6,6.0
2022,历史,656,2.0,8,8.0
2022,历史,655,5.0,13,11.0
2022,历史,654,2.0,15,15.0
2022,历史,653,6.0,21,19.0
2022,历史,652,1.0,22,22.0
2022,历史,651,6.0,28,26.0
2022,历史,650,2.0,30,30.0
2022,历史,649,5.0,35,33.0
2022,历史,648,3.0,38,37.0
2022,历史,647,1.0,39,39.0
2022,历史,646,3.0,42,41.0
2022,历史,645,6.0,48,46.0
2022,历史,644,5.0,53,51.0
2022,历史,643,8.0,61,58.0
2022,历史,642,8.0,69,66.0
2022,历史,641,11.0,80,75.0
2022,历史,640,7.0,87,84.0
2022,历史,639,9.0,96,92.0
2022,历史,638,8.0,104,101.0
2022,历史,637,10.0,114,110.0
2022,历史,636,10.0,124,120.0
2022,历史,635,7.0,131,128.0
2022,历史,634,17.0,148,140.0
2022,历史,633,17.0,165,157.0
2022,历史,632,10.0,175,171.0
2022,历史,631,19.0,194,185.0
2022,历史,630,23.0,217,206.0
2022,历史,629,14.0,231,225.0
2022,历史,628,18.0,249,241.0
2022,历史,627,16.0,265,258.0
2022,历史,626,25.0,290,278.0
2022,历史,625,21.0,311,301.0
2022,历史,624,21.0,332,322.0
2022,历史,623,36.0,368,351.0
2022,历史,622,30.0,398,384.0
2022,历史,621,29.0,427,413.0
2022,历史,620,34.0,461,445.0
2022,历史,619,36.0,497,480.0
2022,历史,618,40.0,537,518.0
2022,历史,617,42.0,579,559.0
2022,历史,616,40.0,619,600.0
2022,历史,615,51.0,670,645.0
2022,历史,614,60.0,730,701.0
2022,历史,613,44.0,774,753.0
2022,历史,612,52.0,826,801.0
2022,历史,611,60.0,886,857.0
2022,历史,610,56.0,942,915.0
2022,历史,609,56.0,998,971.0
2022,历史,608,55.0,1053,1026.0
2022,历史,607,66.0,1119,1087.0
2022,历史,606,65.0,1184,1152.0
2022,历史,605,80.0,1264,1225.0
2022,历史,604,62.0,1326,1296.0
2022,历史,603,97.0,1423,1375.0
2022,历史,602,81.0,1504,1464.0
2022,历史,601,73.0,1577,1541.0
2022,历史,600,101.0,1678,1628.0
2022,历史,599,107.0,1785,1732.0
2022,历史,598,96.0,1881,1834.0
2022,历史,597,100.0,1981,1932.0
2022,历史,596,94.0,2075,2029.0
2022,历史,595,93.0,2168,2122.0
2022,历史,594,109.0,2277,2223.0
2022,历史,593,111.0,2388,2333.0
2022,历史,592,132.0,2520,2455.0
2022,历史,591,139.0,2659,2590.0
2022,历史,590,120.0,2779,2720.0
2022,历史,589,150.0,2929,2855.0
2022,历史,588,137.0,3066,2998.0
2022,历史,587,142.0,3208,3138.0
2022,历史,586,149.0,3357,3283.0
2022,历史,585,156.0,3513,3436.0
2022,历史,584,160.0,3673,3594.0
2022,历史,583,135.0,3808,3741.0
2022,历史,582,183.0,3991,3900.0
2022,历史,581,157.0,4148,4070.0
2022,历史,580,161.0,4309,4229.0
2022,历史,579,203.0,4512,4411.0
2022,历史,578,176.0,4688,4601.0
2022,历史,577,174.0,4862,4776.0
2022,历史,576,193.0,5055,4959.0
2022,历史,575,244.0,5299,5178.0
2022,历史,574,193.0,5492,5396.0
2022,历史,573,234.0,5726,5610.0
2022,历史,572,235.0,5961,5844.0
2022,历史,571,236.0,6197,6080.0
2022,历史,570,233.0,6430,6314.0
2022,历史,569,226.0,6656,6544.0
2022,历史,568,267.0,6923,6790.0
2022,历史,567,261.0,7184,7054.0
2022,历史,566,263.0,7447,7316.0
2022,历史,565,254.0,7701,7575.0
2022,历史,564,310.0,8011,7857.0
2022,历史,563,294.0,8305,8159.0
2022,历史,562,289.0,8594,8450.0
2022,历史,561,281.0,8875,8735.0
2022,历史,560,319.0,9194,9035.0
2022,历史,559,324.0,9518,9357.0
2022,历史,558,358.0,9876,9698.0
2022,历史,557,309.0,10185,10031.0
2022,历史,556,320.0,10505,10346.0
2022,历史,555,359.0,10864,10685.0
2022,历史,554,366.0,11230,11048.0
2022,历史,553,357.0,11587,11409.0
2022,历史,552,393.0,11980,11784.0
2022,历史,551,360.0,12340,12161.0
2022,历史,550,391.0,12731,12536.0
2022,历史,549,409.0,13140,12936.0
2022,历史,548,398.0,13538,13340.0
2022,历史,547,403.0,13941,13740.0
2022,历史,546,394.0,14335,14139.0
2022,历史,545,420.0,14755,14546.0
2022,历史,544,410.0,15165,14961.0
2022,历史,543,432.0,15597,15382.0
2022,历史,542,414.0,16011,15805.0
2022,历史,541,394.0,16405,16209.0
