subject_group,school_code,school_name,major_group_code,actual_group_min_score,actual_group_min_rank,major_code,major_name,actual_major_min_score,actual_major_min_rank,actual_major_max_score,actual_major_avg_score,actual_major_admit_count,selection_requirement,college_department,major_note,actual_group_plan_count,actual_group_filing_count,actual_group_vacancy_count,group_note,group_major_count
历史,10486,武汉大学,211,641,502,017,法学,647,290,,,11,历,,,49,49,,,8
历史,10486,武汉大学,211,641,502,012,文科试验班类(弘毅学堂),646,323,,,10,历,,人文科学试验班(可全校任选,49,49,,,8
历史,10486,武汉大学,211,641,502,013,外国语言文学类,645,358,,,2,历,,英语、法语、德语、日语、西班牙语、俄语、翻译,49,49,,,8
历史,10486,武汉大学,211,641,502,015,中国语言文学类,644,397,,,4,历,,汉语言文学、汉语国际教育,49,49,,,8
历史,10486,武汉大学,211,641,502,014,新闻传播学类,643,442,,,4,历,,新闻学、广播电视学、广告学、传播学,49,49,,,8
历史,10486,武汉大学,211,641,502,018,经济学类,642,482,,,6,历,,经济学、财政学、金融学、金融工程、保险学、国际经济与贸易,49,49,,,8
历史,10486,武汉大学,211,641,502,016,历史学类,641,524,,,4,历,,历史学、世界史、考古学,49,49,,,8
历史,10486,武汉大学,211,641,502,019,工商管理类,641,524,,,6,历,,工商管理、市场营销、会计学、财务管理、人力资源管理、物流管理,49,49,,,8
历史,10486,武汉大学,212,642,461,020,政治学类,642,482,,,2,历+政,,政治学与行政学、外交学,2,2,,,1
历史,10558,中山大学,210,623,1590,060,公共管理类,624,1586,634.0,,33,历+政,,行政管理、政治学与行政学,51,51,,,2
历史,10558,中山大学,210,623,1590,069,国际政治,623,1682,643.0,,18,历+政,,,51,51,,,2
历史,10558,中山大学,211,626,1409,050,汉语言文学(广州),640,553,658.0,,18,历,,,155,156,-1.0,,6
历史,10558,中山大学,211,626,1409,051,历史学(广州),636,735,643.0,,17,历,,,155,156,-1.0,,6
历史,10558,中山大学,211,626,1409,064,汉语言文学(珠海),635,792,641.0,,33,历,,,155,156,-1.0,,6
历史,10558,中山大学,211,626,1409,052,哲学类(广州),634,840,644.0,,14,历,,哲学、逻辑学,155,156,-1.0,,6
历史,10558,中山大学,211,626,1409,065,历史学(珠海),628,1257,635.0,,39,历,,,155,156,-1.0,,6
历史,10558,中山大学,211,626,1409,066,哲学(珠海),626,1417,633.0,,34,历,,,155,156,-1.0,,6
历史,10558,中山大学,221,627,1317,054,"经济学类(广州,含数字方向)",646,323,652.0,,10,历,,经济学、金融学,198,198,,,6
