subject_group,school_code,school_name,major_code,major_name,selection_requirement,actual_major_max_score,actual_major_min_score,actual_major_min_rank,major_group_code,college_department,actual_major_avg_score,actual_major_admit_count,major_note
历史,10558,中山大学,052,哲学类(广州),历,644.0,634,840,211,,,14,哲学、逻辑学
历史,10558,中山大学,065,历史学(珠海),历,635.0,628,1257,211,,,39,
历史,10558,中山大学,066,哲学(珠海),历,633.0,626,1417,211,,,34,
历史,10558,中山大学,054,"经济学类(广州,含数字方向)",历,652.0,646,323,221,,,10,经济学、金融学
历史,10558,中山大学,061,工商管理类(广州),历,646.0,638,640,221,,,48,工商管理、会计学
历史,10558,中山大学,071,经济学(深圳),历,645.0,633,912,221,,,52,
历史,10558,中山大学,072,工商管理(深圳),历,638.0,632,968,221,,,19,
历史,10558,中山大学,067,经济学类(珠海),历,639.0,628,1257,221,,,61,经济学、金融学
历史,10558,中山大学,070,旅游管理类,历,633.0,627,1338,221,,,8,旅游管理、会展经济与管理、酒店管理
历史,10558,中山大学,059,法学(法学+英语双学士学位),历,650.0,645,358,222,,,16,
历史,10558,中山大学,058,法学,历,654.0,643,442,222,,,20,
历史,10558,中山大学,056,法语(法语+法学双学士学位),历,643.0,639,600,222,,,8,
历史,10558,中山大学,057,日语(日语+法学双学士学位),历,643.0,633,912,222,,,8,
历史,10558,中山大学,055,外国语言文学类(广州),历,642.0,628,1257,222,,,26,英语、德语、法语、日语
历史,10558,中山大学,053,社会学类,历,642.0,628,1257,222,,,36,社会学、人类学、考古学
历史,10558,中山大学,062,新闻传播学类,历,642.0,626,1417,222,,,26,新闻学、传播学
历史,10558,中山大学,068,外国语言文学类(珠海),历,639.0,625,1494,222,,,36,英语、阿拉伯语、西班牙语、朝鲜语、俄语
历史,10558,中山大学,063,图书情报与档案管理类,历,635.0,625,1494,222,,,11,图书馆学、档案学
历史,10533,中南大学,009,法学,历,627.0,622,1731,201,,,6,
历史,10533,中南大学,010,金融学类(经济管理类),历,621.0,618,2189,201,,,6,国际经济与贸易、金融学、工商管理、会计学
历史,10533,中南大学,011,中国语言文学类,历,622.0,618,2189,201,,,9,汉语言文学、数字出版
历史,10533,中南大学,012,外国语言文学类,历,618.0,616,2420,201,,,10,英语、法语、日语、西班牙语
历史,10384,厦门大学,021,法学(含涉外法治人才基地实验班),历,643.0,640,539,214,,,4,
历史,10384,厦门大学,024,"会计学(会计财务审计,含双学士学位项目)",历,646.0,636,716,214,,,3,会计学、财务管理、审计学
历史,10384,厦门大学,023,经济学类(含双学士学位项目),历,640.0,630,1062,214,,,3,金融学、财政学、税收学、国际经济与贸易、经济学
历史,10384,厦门大学,019,人文科学试验班,历,640.0,628,1220,214,,,6,汉语言文学、汉语言、历史学、考古学、哲学、戏剧影视文学
历史,10384,厦门大学,020,新闻传播学类(国际传播智能广告与数字新闻),历,631.0,625,1456,214,,,5,新闻学、广告学、传播学、国际新闻与传播
历史,10384,厦门大学,022,社会学类,历,628.0,625,1456,214,,,4,社会学、人类学
历史,10384,厦门大学,028,会计学(厦门大学马来西亚分校招生专业),历,610.0,609,3421,215,,,2,
历史,10384,厦门大学,025,汉语言文学(厦门大学马来西亚分校招生专业),历,613.0,605,4140,215,,,2,
历史,10384,厦门大学,027,金融学(厦门大学马来西亚分校招生专业),历,609.0,603,4540,215,,,2,
历史,10384,厦门大学,030,英语(厦门大学马来西亚分校招生专业),历,604.0,602,4757,215,,,2,
历史,10384,厦门大学,029,广告学(厦门大学马来西亚分校招生专业),历,614.0,602,4757,215,,,2,
历史,10384,厦门大学,026,新闻学(厦门大学马来西亚分校招生专业),历,601.0,601,4969,215,,,2,
历史,19027,北京师范大学(珠海校区),002,英语(师范)(国家公费师范生),历,632.0,628,1220,109,,,6,公师
历史,19027,北京师范大学(珠海校区),001,汉语言文学(师范)(国家公费师范生),历,649.0,625,1456,109,,,23,公师
历史,19027,北京师范大学(珠海校区),003,历史学(师范)(国家公费师范生),历,631.0,624,1541,109,,,16,公师
历史,19027,北京师范大学(珠海校区),004,思想政治教育(师范)(国家公费师范生),历+政,630.0,620,1951,110,,,32,公师
历史,19027,北京师范大学(珠海校区),015,人文科学试验班,历,646.0,626,1378,208,,,49,汉语言文学、英语、历史学
历史,19027,北京师范大学(珠海校区),016,社会科学试验班,历,639.0,624,1541,208,,,30,经济学(数据科学)、金融科技
历史,10611,重庆大学,007,汉语言文学(博雅类),历,623.0,620,1951,211,,,3,中文、历史、哲学
历史,10611,重庆大学,008,人文科学试验班(法学新闻类),历,623.0,620,1951,211,,,3,法学、新闻学
历史,10611,重庆大学,006,马克思主义理论,历+政,618.0,617,2306,212,,,2,
历史,10611,重庆大学,009,戏剧与影视学类,历,602.0,593,6870,216,,,8,广播电视编导、戏剧影视文学、戏剧影视导演
历史,10272,上海财经大学,002,会计学,历,630.0,630,1062,207,,,1,
历史,10272,上海财经大学,004,金融学,历,630.0,626,1378,207,,,5,
历史,10272,上海财经大学,009,法学,历,626.0,623,1635,207,,,3,“法学+金融学”双学位
历史,10272,上海财经大学,003,财务管理,历,630.0,622,1731,207,,,3,培养智能化人才
历史,10272,上海财经大学,005,工商管理类,历,621.0,621,1835,207,,,2,工商管理(商务分析)、工商管理(战略与创新创业)、市场营销、人力资源管理
历史,10272,上海财经大学,006,投资学,历,623.0,621,1835,207,,,4,
历史,10272,上海财经大学,007,商务英语,历,621.0,620,1951,207,,,3,
历史,10272,上海财经大学,008,马克思主义理论,历+政,610.0,610,3259,208,,,1,
历史,10610,四川大学,011,美术学(理论研究),历,,600,5183,209,,,4,
历史,10610,四川大学,009,人文科学试验班(中文与新闻传播),历,,624,1541,211,,,5,汉语言文学、汉语国际教育、新闻学、广告学、网络与新媒体
历史,10610,四川大学,008,法学,历,,622,1731,211,,,6,
历史,10610,四川大学,010,工商管理类,历,,619,2072,211,,,5,市场营销、人力资源管理、财务管理、会计学(ACCA)
历史,10610,四川大学,007,经济学类,历,,619,2072,211,,,6,国际经济与贸易、经济学、国民经济管理、财政学
历史,10610,四川大学,006,哲学,历,,619,2072,211,,,3,
历史,10610,四川大学,005,中国古典学,历,,619,2072,211,,,3,
历史,10034,中央财经大学,004,金融学,历,633.0,623,1635,206,,,4,金融学、金融学(北外英语联培)
历史,10034,中央财经大学,011,法学,历,626.0,620,1951,206,,,3,法学(卓越法治人才教育培养计划)、法学(涉外法治人才培养基地班)、法学(“法学+会计学”双学位项目)、法学(“法学+工商管理”双学位项目)
历史,10034,中央财经大学,012,社会学类,历,619.0,619,2072,206,,,1,社会学(经济社会学)、社会工作(金融领域)
历史,10034,中央财经大学,005,工商管理类(会计学院),历,635.0,619,2072,206,,,5,会计学、会计学(“法学+会计学”双学位项目)、财务管理
