subject_group,school_code,school_name,major_group_code,selection_requirement,group_majors_text,actual_group_min_score,actual_group_min_rank,actual_group_plan_count,actual_group_filing_count,actual_group_vacancy_count,group_note,group_major_count
历史,10040,外交学院,105,历,英语(国际传播),617,2260,1,1,,,1
历史,10611,重庆大学,212,历+政,马克思主义理论,617,2262,2,2,,,1
历史,10511,华中师范大学,112,历+地,地理科学(师范)(国家公费师范生),617,2306,2,2,,公师,1
历史,10030,北京外国语大学,211,历,英语(中国政法大学联合培养涉外法治人才)，西班牙语(葡语)，翻译(外交外事高级翻译)，西班牙语，英语，英语(外语教育)，日语(高级翻译)，法学，英语(国别与区域研究)，葡萄牙语(法学)，国际经济与贸易，日语(日本研究)，工商管理类，汉语言文学，德语，俄语,617,2308,21,21,,,16
历史,10034,中央财经大学,206,历,金融学，法学，社会学类，工商管理类(会计学院)，财政学类，汉语言文学，经济与贸易类，经济学类，工商管理类(商学院),617,2324,38,38,,金融学、金融学(北外英语联培),9
历史,10040,外交学院,106,历,法学，法语,617,2329,3,3,,,2
历史,10285,苏州大学,213,历+地+政,汉语言文学，汉语言文学(师范),617,2357,3,3,,,2
历史,10422,山东大学,201,历,中国语言文学类，历史学类，英语，哲学类，考古学，汉语国际教育,616,2411,14,14,,,6
历史,10030,北京外国语大学,212,历+政,外交学，国际组织与全球治理,616,2425,3,3,,,2
历史,10533,中南大学,201,历,法学，金融学类(经济管理类)，中国语言文学类，外国语言文学类,616,2436,31,31,,,4
历史,10561,华南理工大学,211,历,法学(卓越法律班)，经济学(创新班)，法学类，会计学，经济学类，商务英语，新闻传播学类，行政管理，工商管理类,615,2478,220,220,,,9
历史,10635,西南大学,118,历+政,思想政治教育(师范)(国家公费师范生),615,2491,2,2,,公师,1
历史,10718,陕西师范大学,110,历,英语(师范)(国家公费师范生),615,2504,1,1,,公师,1
历史,10200,东北师范大学,106,历,汉语言文学(师范)(国家公费师范生),615,2526,3,3,,公师,1
历史,10718,陕西师范大学,113,历+政,思想政治教育(师范)(国家公费师范生),615,2547,3,3,,公师,1
历史,10422,山东大学,202,历,法学类，经济学类，经济学类，新闻传播学类，社会学类，工商管理类,614,2611,23,23,,,6
历史,10614,电子科技大学,204,历,英语，社会科学试验班，外国语言文学类,614,2653,7,7,,,3
历史,10033,中国传媒大学,215,历,戏剧影视文学,614,2666,2,2,,,1
历史,10635,西南大学,114,历,汉语言文学(师范)(国家公费师范生)，历史学(师范)(国家公费师范生),614,2712,7,7,,公师,2
历史,10019,中国农业大学,205,历,工商管理类，经济学类,614,2725,8,8,,,2
历史,10036,对外经济贸易大学,103,历,西班牙语，法语，德语，日语，越南语，希腊语,614,2746,12,12,,,6
历史,10635,西南大学,116,历,心理学(师范)(国家公费师范生),613,2771,1,1,,公师,1
历史,10200,东北师范大学,107,历+政,思想政治教育(师范)(国家公费师范生),613,2790,3,3,,公师,1
历史,10271,上海外国语大学,209,历,法语，商务英语,613,2791,5,5,,,2
历史,10559,暨南大学,209,历,法学，法学，知识产权，法学,613,2810,66,66,,,4
历史,10511,华中师范大学,221,历+政,政治学类,613,2862,5,5,,,1
历史,10574,华南师范大学,201,历,汉语言文学(师范)，英语(师范)，历史学(师范),612,2898,48,48,,文史哲融通国学班，普师,3
历史,10635,西南大学,117,历+地,地理科学(师范)(国家公费师范生),612,2915,2,2,,公师,1
历史,10033,中国传媒大学,209,历,新闻学，广告学，传播学，网络与新媒体，汉语言文学，数字出版，行政管理,612,2922,19,19,,,7
历史,10652,西南政法大学,205,历,法学，法学，法学，法学，知识产权，法学，海外利益安全，法学，金融学，德语，工商管理类，新闻传播学类，行政管理，英语,612,2963,102,102,,,14
历史,10276,华东政法大学,203,历,法学，法学，法学，知识产权，法学，网络与新媒体，经济学类，公共管理类，社会学类,612,2979,20,20,,,9
历史,10699,西北工业大学,206,历+政,马克思主义理论,612,3012,3,3,,,1
历史,10183,吉林大学,218,历,"经济学(匡亚明班,拔尖学生培养基地)，经济学，经济学类",612,3013,8,8,,,3
历史,10271,上海外国语大学,213,历,法学，工商管理类，国际经济与贸易(日语),611,3037,9,9,,,3
历史,10183,吉林大学,217,历,考古学,611,3082,4,4,,,1
历史,10034,中央财经大学,207,历,国际经济与贸易(中外合作办学),611,3094,6,6,,中外合作,1
历史,10511,华中师范大学,220,历+地,地理科学类,611,3108,2,2,,,1
历史,10423,中国海洋大学,216,历+政,政治学与行政学,611,3113,2,2,,,1
历史,10183,吉林大学,216,历,"人文科学试验班(匡亚明班)，哲学(匡亚明班,拔尖学生培养基地)，历史学，新闻传播学类",611,3120,10,10,,,4
历史,10651,西南财经大学,207,历,经济学(国家经济学基础人才培养基地班)，法学(法学与金融学双学位)，金融学(经管国际化创新实验班)，会计学(注册会计师专门化)，经济与贸易类，法学(法学与国商双学位)，工商管理类(会计学院)，会计学(双语实验班)，财政学类，金融学类(保险)，金融学类，工商管理类,611,3145,18,18,,,12
历史,10652,西南政法大学,206,历,法学(中外合作办学),611,3149,6,6,,中外合作,1
历史,10272,上海财经大学,208,历+政,马克思主义理论,610,3200,1,1,,,1
